label,query,title,url,snippet,kind,tavily_rank,tavily_score,notes
2,waste management technology award 2027 nominations open India,"130+ Award Categories | Solar, ESG, Waste Management & CSR",https://indiagreenawards.com/nomination-category.html,"Nominate Now    ### Contact Us   +91 9304117765  event@progressionglobal.com  55 2nd Floor, Westend Marg,     Saidullajab, Near Saket,     New Delhi-110030  ### Follow Us  ## Nomination category  Home Nomination category  # Nomination Categories  Smarter search with auto-open groups, emerald highlig",planner,9,0.5709,"India, explicit Waste Management category"
0,waste management technology award 2027 nominations open India,Awards for E-waste recycling machine | ResposeIndia,https://resposeindia.com/awards,"Silicon India magazine recognized Respose Waste Management as the top solutions and services provider for the Waste Management Industry in India  ## CONTACT  ResposeIndia  68/6, Lahu Budhaji Estate, MIDC Phase II,  Mhatrepada, Dombivli East,  Maharashtra, India 421204  ​  email - info@resposeindia.c",planner,10,0.4942,competitor's own awards-received page
2,waste management technology award 2027 nominations open India,"Call for Proposal for 'Waste Management Technologies (WMT) Program' under the Technology Translation & Innovation Division, DST, Government of India, Last date extended till 31st August, 2025 | Department Of Science & Technology",https://dst.gov.in/callforproposals/call-proposal-waste-management-technologies-wmt-program-under-technology,"भारत सरकार"")GOVERNMENT OF INDIA  विज्ञान और प्रौद्योगिकी मंत्रालयMINISTRY OF SCIENCE AND TECHNOLOGY   Screen Reader Access  Accessibility Dropdown ; ""Accessibility Dropdown"")   + A+; ""Increase font size"")   + A; ""Reset font size"")   + A-; ""Decrease font size"")   + A; ""High Contrast"")   + A; ""Normal ",planner,11,0.4634,"India govt, real call for proposals"
0,waste management technology award 2027 nominations open India,Call For Nominations: 2027 Rising Stars... - ACS Publications,https://facebook.com/ACSPublications/posts/call-for-nominations-2027-rising-stars-in-environmental-research-nominate-an-ear/1378652141048030,"## ACS Publications's Post  ### ACS Publications  August 23 at 8:15 AM  ·  Call For Nominations: 2027 Rising Stars in Environmental Research  Nominate an early-career researcher to be highlighted in our Special Issue celebrating the 2027 Rising Stars in Environmental Research.  Topics include, but a",planner,12,0.4429,"social media, also wrong entrant (academic research)"
2,waste management technology award 2027 nominations open India,India Process Expo 2027,https://indiaprocessexpo.com/awards-nomination.html,"Page 5: Your Entry Reference    Please list a customer and a vendor who can be contacted for a reference if the jury so desires to confirm your credentials    We will list all the nominees on the Awards social Media pages as your industry peers including customers, colleagues, vendors, partners can ",planner,13,0.434,"India, mid-form content confirms real entry page"
0,waste management technology award 2027 nominations open India,EEF Global Wastemet Award,https://ee-foundation.org/wastemet.html,"## Submission of Application  Global WasteMet Award's application complete with all information and documents alongwith applicable processing fee should be submitted to the Secretariat by     June 15, 2026  ## Selection Process  »   Preliminary evaluation of nominations.    »   Mandatory Oral Presen",planner,14,0.4279,"unsure - geography unconfirmed, recurs often, worth a manual check"
0,waste management technology award 2027 nominations open India,Wipro earthian Competition on Waste Management (India),https://www2.fundsforngos.org/environment-2/wipro-earthian-competition-on-waste-management-india,Deadline: 30-Sep-2026 The Wipro earthian School Competition invites schools across India to engage students in Grades 6 to 12 in practical and analytical,planner,15,0.3528,wrong entrant - school students grades 6-12
1,waste management technology award 2027 nominations open India,Home | Awards,https://awards.gov.in/,##### Subhash Chandra Bose Aapda Prabandhan Puraskar 2027  National Disaster Management Authority  Open From :01/10/2025 To 30/09/2026  Help Desk  View Details ⟶  ##### Subhash Chandra Bose Aapda Prabandhan Puraskar 2027  ##### HelpDesk  : 9:00 Hrs to 17:30 Hrs on all working days from Monday to Fri,planner,16,0.2874,"India govt awards portal, this example off-topic but right site type"
0,waste management technology award 2027 nominations open India,Only 3 days left ! The last date to nominate for the prestigious ...,https://www-fallback.instagram.com/reel/DUc5a9AAFIK,"🗓️ Event Dates: 6–7 March 2026 Venue: India International Centre, New Delhi, India ✨ In collaboration",planner,17,0.2531,social media
2,sustainability awards India 2027 how to apply entry deadline,Sustainability & ESG Brilliance Awards 2027 | International Brilliance Awards,https://brillawards.com/sustainability-esg-brilliance-awards,Explore Category Details  ### Entry Deadline  5 October 2026  39Days  6Hours  9Mins  22Secs  #### Send Me a Reminder  ### Why Enter  Your sustainability achievements deserve recognition that stands up to scrutiny. The Sustainability & ESG Brilliance Awards™ 2027 provide an independent and credible p,planner,1,0.8106,"real entry deadline, internationally open"
2,sustainability awards India 2027 how to apply entry deadline,ESG and Sustainability Awards in India - Upcoming Best HR Award in India - 2026 -2027,https://hrdawards.in/esg-and-sustainability-awards-in-india,"## How to Apply  Go to the main awards page, select your participation level, and choose ESG & Sustainability as your domain. The platform will display categories relevant to your role, team, or organisation.  Applicants can apply as individuals, teams, or organisations depending on the nature of th",planner,2,0.7841,"India, real how-to-apply"
2,sustainability awards India 2027 how to apply entry deadline,Greenprint Awards 2027: Sustainability Awards,https://ceew.in/greenprint-awards,"## Recognition & Opportunities  The Greenprint Awards recognises individuals and organisations driving transformative climate action and provide a platform to showcase their impact to influential leaders from across government, industry, finance and civil society. Award recipients will receive:  For",planner,3,0.7813,"India (CEEW), real awards page"
0,sustainability awards India 2027 how to apply entry deadline,EEF Global Sustainability Champion Award,https://ee-foundation.org/sustainability-champions.html,"Energy And Environment Foundation Logo  Global Award  Global Award  ### The Awards             # Recipient of ""ENERGY AND ENVIRONMENT FOUNDATION GLOBAL AWARDS”  # Recognition and Awards Program   The Awards  |  Focus  |  Objectives  |  Eligibility  |  Selection Process  Global Bio Innovation & Techn",planner,4,0.7505,"unsure - geography unconfirmed, recurs often, worth a manual check"
0,sustainability awards India 2027 how to apply entry deadline,Entry Process - 2027 Metsa Sustainability Awards,https://2027sustainabilityawards.com/entry-process,"All submissions should demonstrate the impacts by outlining the project process, achievements, and concrete outcomes, and outline the future of the project with timelines and ongoing goals, if relevant. All judges will review and score each award according to a set criteria (to ensure commonality ac",planner,5,0.7075,unsure - possibly Finland-linked (Metsa)
0,sustainability awards India 2027 how to apply entry deadline,EEF Global Sustainability Award,https://ee-foundation.org/sustainability.html,## Application  EEnergy And Environment Foundation Global Award’s Application Form and Rules & Regulations can be obtained by sending request by email to dranilgarg2024@gmail.com.   For details visit www.ee-foundation.org.   Evaluation of nominations for Global Sustainability Awards is an intensive,planner,6,0.7039,"unsure - geography unconfirmed, recurs often, worth a manual check"
2,sustainability awards India 2027 how to apply entry deadline,Sustainability Leadership Awards,https://sustainability.economictimes.indiatimes.com/sustainability-awards,"12th March, 2027  New Delhi  Express Interest  ## Overview  Sustainability is no longer optional but essential to long-term success. The Sustainability Awards honor organizations that embed environmental stewardship, social responsibility, and good governance into their operations. These awards cele",planner,7,0.6847,ET Sustainability Awards own categories/overview page
2,sustainability awards India 2027 how to apply entry deadline,Water Sustainability Awards,https://wsa.teriin.org/application.php,"3. Cheque: Kindly send us the cheque addressed to ""The Energy and Resources Institute” via post. Once your payment is confirmed by our Accounts Department, we will generate the PDF for you. In case the cheque reaches beyond the deadline or the cheque bounces, your application will stand rejected. 4.",planner,8,0.6786,"India (TERI), real application page"
2,sustainability awards India 2027 how to apply entry deadline,Golden Peacock Institutional Awards in India 2025 - 2026,https://goldenpeacockaward.com/institutional-award.html,"| Last Date for Submission (Tentative) Jan 20, 2027  Date of Results Announcement (Tentative) March 10, 2027  Awards Ceremony Awards presentation during Annual UAE Global Convention 2027 in April in Dubai (UAE) | | | | 17. | NATIONAL | Golden Peacock Environment Management Award | | 18. | NATIONAL |",planner,9,0.6525,"India, real deadline shown"
2,sustainability awards India 2027 how to apply entry deadline,11th ISGF INNOVATION AWARDS 2027 ... - India Smart Utility Week,https://isuw.in/innovation-awards,"| 8 | Waste-to-Energy, including Waste to CNG, Waste to Biogas Projects (W2E) | Municipalities and Project Developers who have successfully implemented W2E projects are eligible to apply | This Award Category recognizes the Successful and Sustainable W2E projects that are completed and running for a",planner,10,0.5903,"India, real nomination categories"
1,sustainability awards India 2027 how to apply entry deadline,Golden Peacock Awards - Corporate & Business Leadership Awards 2026,https://goldenpeacockaward.com/,"| 16. | NATIONAL | Golden Peacock Award for Excellence in Artificial Intelligence (AI) | | Last Date for Submission (Tentative) Jan 20, 2027  Date of Results Announcement (Tentative) March 10, 2027  Awards Ceremony Awards presentation during Annual UAE Global Convention 2027 in April in Dubai (UAE) ",planner,11,0.5649,"same site homepage, not the specific award page"
0,sustainability awards India 2027 how to apply entry deadline,Green Awards 2027,https://greenawards.ie/,"# Green Awards 2027 now accepting entries  The Green Awards 2027 is now open for entries, inviting businesses of all sizes to showcase their commitment to sustainable business practice ahead of the 30 October deadline. The awards gala will take place on 23 February 2027 at the Clayton Hotel, Burling",planner,12,0.5554,wrong geography - Ireland
0,sustainability awards India 2027 how to apply entry deadline,#RegisterNow | Global Sustainability Award 2026 TERI is honoured ...,https://facebook.com/TERIIN/posts/-registernow-global-sustainability-award-2026teri-is-honoured-to-be-a-partner-fo/1388391539988966,"Registrations for the India Chapter (Delhi) are open until May 31, 2026. Apply here: https://globalsustainabilityawards. net/apply-now/?v=",planner,13,0.4974,social media
0,sustainability awards India 2027 how to apply entry deadline,Nominations are now open for the IPTC 2027 Excellence Awards ...,https://instagram.com/reel/DZmcEoJD6nj,Project Excellence Award Sustainability Excellence Award Distinguished Achievement Award Young Professional Achievement Award Know,planner,14,0.4818,social media
2,sustainability awards India 2027 how to apply entry deadline,India CSR Summit,https://indiacsrsummit.in/about_awards.php,"#### Q: Who can apply for the awards?)  A: Eligible applicants include businesses, corporates, social enterprises, academic institutes, non-profit organizations, philanthropic organizations, and government representatives. To know more about the eligibility criteria and categories, please visit:   #",planner,15,0.4176,"India, explicit eligibility shown"
0,sustainability awards India 2027 how to apply entry deadline,Instagram,https://instagram.com/reel/DYMgx45zT9C?hl=en,"teriindia  📢 #WatchNow | Global Sustainability Award 2026      Dr Vibha Dhawan, Director General, TERI, highlights how the Global Sustainability Award serves as a powerful platform for recognizing changemakers driving impact toward the United Nations Sustainable Development Goals (SDGs).      With 1",planner,16,0.4095,social media
0,sustainability awards India 2027 how to apply entry deadline,BW Sustainable World Awards 2026 - BW Businessworld,https://bwevents.co.in/bwsustainability/bw-sustainable-world-awards-2026,"BW Businessworld BW Sustainable World Awards 2026 - BW Businessworld"") BW Sustainable World Awards 2026 - BW Businessworld"")  ## BW Sustainable World Awards 2026  Celebrating Leadership, Innovation & Impact for a Regenerative Future  The BW Sustainable World Awards 2026, part of the Sustainable Worl",planner,17,0.2857,confirmed closed - fetched directly earlier in this project
0,sustainability awards India 2027 how to apply entry deadline,Instagram,https://instagram.com/p/DYCWd_SjBuG?hl=en,"Video by TERI on August 20, 2026. May be an image of poster, magazine and text that says 'Celebrating the Clean Kilowatt: Akshay Urja Diwas Dr Jay Jay Ganesh Pandey Research Associate, TERI TAKE 3 3 QUESTIONS MINUTES 3 SOLUTIONS'. Photo by TERI on August 04, 2026. May be an image of magazine, poster",planner,18,0.0425,social media
0,cleantech startup grant 2027 applications open India,Clean Energy Startup Funding Opportunity in India | Manthan O/o PSA posted on the topic | LinkedIn,https://linkedin.com/posts/manthanpsa_cleanenergy-climatetech-sustainability-activity-7460975828273770512-WyX_,"🌱 Funding Opportunity for Clean Energy & Environment Startups! Cummins Inc. India Foundation in collaboration with Venture Center (Official Account), has launched the 6th edition of its CSR-supported grant program to support innovators and startups working on impactful clean-tech solutions. 📌 Focus ",planner,1,0.7577,social media
1,cleantech startup grant 2027 applications open India,Venture Center Funds,https://venturecenter.co.in/funds-list,"Global Energy Alliance for People and Planet has partnered with Startup India under the Department for Promotion of Industry and Internal Trade (DPIIT) to invite applications for ENTICE 3.0 (Energy Transitions Innovation Challenge) from clean-tech innovators. Winners stand to receive up to $100,000 ",planner,2,0.7472,"India, index/list page not a single entry point"
0,cleantech startup grant 2027 applications open India,"Open grant — Applications Open for Shine Program 2027 — for India, Mexico, Philippines, Slovakia, South Africa, Switzerland, UK, USA by Climate-KIC in Environment & Climate, Private Sector & Trade sectors —  DevelopmentAid",https://developmentaid.org/grants/view/1700203/applications-open-for-shine-program-2027,"Developmentaid logo  ## Sign in  or  register for free  This site is protected by reCAPTCHA and the Google  Privacy Policy  and  Terms of Service  apply.  Banner Banner Banner EIT Climate Knowledge and Innovation Community (KIC)"")  # Applications Open for Shine Program 2027  ### Details  ### Attachm",planner,3,0.6321,aggregator listing
0,cleantech startup grant 2027 applications open India,"Climate, Energy & EV Startup Grants India July 2026 | Startup Grants India",https://startupgrantsindia.com/blog/climate-energy-ev-startup-grants-india-2026-w28,"The Maruti Suzuki NURTURE Cohort 4 is a pre-incubation initiative offering cash rewards up to ₹13 lakh and a paid PoC opportunity. Focus domains include EV and EV infrastructure, sustainability, and mobility technology.  Startups working on EV charging, battery management, or sustainable materials a",planner,4,0.6147,aggregator
0,cleantech startup grant 2027 applications open India,Avinya'27 | Energy Startup Challenge Are you building an innovative ...,https://instagram.com/reel/Dcs_-2kT_z7,"Avinya'27, as part of India Energy Week 2027, invites Indian startups to showcase solutions shaping the future of energy. Who can apply?",planner,5,0.5829,social media
0,cleantech startup grant 2027 applications open India,Apply for INCUBEIN Startup Program 2026–27 (India) - fundsforNGOs,https://www2.fundsforngos.org/innovation/apply-for-incubein-startup-program-2026-27-india,"The program focuses on sectors like HealthTech, AgriTech, CleanTech, EdTech, and emerging technologies. to ₹10 lakhs",planner,6,0.5646,aggregator
0,cleantech startup grant 2027 applications open India,The Swiss Re Foundation Shine 2027 Climate Startup Accelerator ...,https://facebook.com/ScholarshipsAds/posts/the-swiss-re-foundation-shine-2027-climate-startup-accelerator-and-grant-program/1552518060250880,The Swiss Re Foundation Shine 2027 Climate Startup Accelerator and Grant Program supports innovative startups working on climate solutions.,planner,7,0.4746,social media
0,cleantech startup grant 2027 applications open India,How to Find Grants for Startups in India in 2026,https://incorpx.io/blog/how-to-find-grants-for-startups-in-india-in-2026,"A comprehensive resource for startup grants in India in 2026 is the IncorpX Grants Portal at incorpx.io/grants: an open directory of 600+ central and state government grants, schemes, and subsidies, filtered by sector (AI, deeptech, fintech, healthtech, biotech, agritech, climatech, edtech, manufact",planner,8,0.4677,aggregator/directory
0,cleantech startup grant 2027 applications open India,MC² Plus Ignite | Applications Open Calling India's deep-tech ...,https://facebook.com/BharatPetroleumCorporation/posts/mc%C2%B2-plus-ignite-applications-open-calling-indias-deep-tech-foundersbpcl-is-partn/1575455954623799,"Inviting startup applications in the following consolidated areas: 1. Hydrocarbon (Refining, Marketing, Pipelines, Petrochemicals) Sector 2. Oil",planner,9,0.4672,social media
0,cleantech startup grant 2027 applications open India,Startup Grants for Indian Founders | Eenabl,https://eenabl.com/opportunities,"# Startup Grants for Indian Founders  Discover startup grants and funding programs for Indian founders: Startup India Seed Fund (SISFS), BIRAC, DST, MeitY, state startup policies, accelerator cohorts, and CSR funds. Browse programs across every stage, sector, and state, with deadlines and eligibilit",planner,10,0.4092,aggregator
0,cleantech startup grant 2027 applications open India,"Startup Grants & Funding Opportunities | Guide My Startup - Bangalore, Karnataka, India | Guide My Startup",https://guidemystartup.in/grantsprogram,| 17 | IGNITE – IDFC FIRST Bank’s Social Incubation Programme | Green Manufacturing Circular Economy Solutions Renewable Energy Climate-Tech Products Local Resource-Based Enterprises Waste Recycling & Upcycling Clean Tech Water & Wastewater Management Sustainable & Indigenous | CSR grant of up to Rs,planner,11,0.4085,aggregator
0,cleantech startup grant 2027 applications open India,Grants for Energy & Environment Technologies in India,https://www2.fundsforngos.org/latest-funds-for-ngos/grants-for-energy-environment-technologies-in-india,Deadline: 10-Jun-23. Venture Center and Cummins India Foundation have teamed up to support entrepreneurs / start ups working on technologies in energy and,planner,12,0.4078,aggregator
0,cleantech startup grant 2027 applications open India,Startup Grants & Funding for Indian Founders 2026 | Startup Grants India,https://startupgrantsindia.com/,"Open Workspace  ## About StartupGrantsIndia  StartupGrantsIndia is India's largest independent directory of startup grants, government schemes, accelerators, incubation programs, CSR funds, and seed funding for Indian founders — covering DPIIT-recognised programs, state startup policies, central min",planner,13,0.3911,aggregator
1,cleantech startup grant 2027 applications open India,Cleantech Open National,https://cleantechopen.org/,"Skip to main   Sign up Sign up Chevron   |  Login Login;)   Cleantech Open National  # Cleantech Open  ### runs the largest clean technology accelerator program in the world.  #### COMING SOON  ### Applications closed  Apply Now  ### 2,100+  #### Technology Startups  ### 4000+  #### Entrepreneurs Tr",planner,14,0.3857,"real global cleantech accelerator brand, homepage not India-specific entry"
1,cleantech startup grant 2027 applications open India,"Startup Grants | India Science, Technology & Innovation - ISTI Portal",https://indiascienceandtechnology.gov.in/funding-opportunities/startups,"## Accessibility Tools  isti-logo  ## Search form  amrit-mahotsav G-20  Megamenu Button  ## Funding Opportunities  ## Funding Opportunities menu  # Startup Grants  ## Funding Startups  #### Action COVID-19 Team (ACT) Grants  #### Aspire Scheme for promotion of Innovation, Entrepreneurship and Agro-I",planner,15,0.3642,"India govt, index page not a single scheme's entry point"
